Ticker,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Avg Volume,Rel Volume,Price,Change,Volume
IRD,0.0632,0.32909999999999995,-0.0818,0.10859999999999999,-0.43579999999999997,-0.15130000000000002,0.0191,0.038,1.0,214270.0,0.27,1.01,-0.0098,58518.0
ATAI,0.23929999999999998,0.3289,0.0151,0.2096,0.16760000000000003,0.5188,0.08460000000000001,0.055999999999999994,1.0,1870000.0,1.2,2.02,0.0576,2239638.0
CABA,-0.0166,0.3284,-0.1359,-0.3407,-0.8618000000000001,-0.2159,0.0219,0.0906,1.36,1330000.0,0.74,1.78,-0.0084,979365.0
ZIM,0.0144,0.3282,-0.1253,-0.2854,-0.0086,-0.1481,0.043,0.0487,4.12,7170000.0,0.6,18.29,0.0105,4316045.0
CRIS,-0.005,0.3267,-0.35810000000000003,-0.4763,-0.8108,-0.3497,0.06309999999999999,0.0789,1.0,79970.0,0.74,1.99,0.0365,58819.0
NLSP,0.2112,0.3265,0.0,-0.4018,-0.7245999999999999,-0.0758,0.058600000000000006,0.0398,3.0,133020.0,7.64,1.95,0.13369999999999999,1015888.0
DOGZ,0.2267,0.3264,-0.19690000000000002,-0.5344,1.719,-0.5086999999999999,0.08960000000000001,0.054000000000000006,,163630.0,1.84,22.35,-0.0163,301641.0
NUS,-0.020099999999999996,0.3261,-0.0368,-0.06269999999999999,-0.457,0.062400000000000004,0.0265,0.039599999999999996,3.0,663820.0,0.33,7.32,0.0055000000000000005,217050.0
FTDR,-0.0245,0.3256,-0.059500000000000004,-0.0109,0.514,-0.0177,0.0174,0.0365,2.14,953470.0,0.44,53.7,0.0138,415510.0
CRMG,-0.055,0.32539999999999997,,,,0.3379,0.018799999999999997,0.0361,,8770.0,0.19,17.69,-0.0006,1706.0
LESL,-0.0316,0.32530000000000003,-0.4194,-0.7288,-0.8334,-0.6303,0.064,0.050199999999999995,2.92,5000000.0,0.54,0.82,0.048799999999999996,2718923.0
WLGS,-0.0286,0.3246,-0.9495999999999999,-0.9339,-0.5919,-0.8597,0.07150000000000001,0.1193,,11750000.0,0.11,0.25,0.0425,1322144.0
ORN,-0.08039999999999999,0.324,0.133,-0.0037,-0.07719999999999999,0.0928,0.0287,0.034,1.0,439260.0,0.79,8.01,-0.054299999999999994,346854.0
OPFI,0.029900000000000003,0.3239,0.0718,0.7512000000000001,2.7464,0.5797,0.0501,0.0418,1.0,1240000.0,0.64,11.73,0.0353,792966.0
BTF,0.0565,0.3234,0.0779,-0.3576,-0.325,-0.055999999999999994,0.0202,0.0341,,31730.0,0.99,13.83,0.0375,31388.0
SHYF,0.001,0.3233,-0.1352,-0.2918,-0.2339,-0.1772,0.029900000000000003,0.0321,1.67,295380.0,0.69,9.66,0.030899999999999997,202626.0
